Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
2440/C;Grue Carlo Antonio;fabbrica degli Abruzzi;XVII - XVIII;paesaggio;maiolica;http://93.62.170.226/foto/M0001726.jpg;http://www.palazzomadamatorino.it/it/node/8374
2444/C;Grue Francesco Saverio;fabbrica di Castelli - Abruzzo;XVIII;donna che allatta bambino su sfondo di paesaggio;maiolica;http://93.62.170.226/foto/M0001730.jpg;http://www.palazzomadamatorino.it/it/node/8378
2445/C;Grue Francesco Saverio;fabbrica di Castelli - Abruzzo;XVIII;contadino con cesto di frutta su sfondo di paesaggio;maiolica;http://93.62.170.226/foto/M0001731.jpg;http://www.palazzomadamatorino.it/it/node/8379
2446/C;Grue Carlo Antonio;fabbrica di Castelli - Abruzzo;XVII - XVIII;putti e scene pastorali;maiolica;http://93.62.170.226/foto/M0001732.jpg;http://www.palazzomadamatorino.it/it/node/8380
2449/C;;fabbrica degli Abruzzi;XVIII;cinque bambini all'altalena;maiolica;http://93.62.170.226/foto/M0001735.jpg;http://www.palazzomadamatorino.it/it/node/8383
2453/C;;fabbrica di Castelli - Abruzzo;XVIII;scene mitologiche e divinita' marine;maiolica;http://93.62.170.226/foto/M0001739.jpg;http://www.palazzomadamatorino.it/it/node/8387
2457/C;;fabbrica di Napoli;XVIII;pesci e frutti marini;maiolica;http://93.62.170.226/foto/M0001743.jpg;http://www.palazzomadamatorino.it/it/node/8391
2458/C;Grue Carlo Antonio;fabbrica degli Abruzzi;XVII - XVIII;servizio Colonna;maiolica;http://93.62.170.226/foto/M0001744.jpg;http://www.palazzomadamatorino.it/it/node/8392
2459/C;;manifattura ignota;XVIII;scena galante;maiolica;http://93.62.170.226/foto/M0001745.jpg;http://www.palazzomadamatorino.it/it/node/8393
2464/C;;Real fabbrica Ferdinandea;XVIII;Marte/ putti e due divinita';porcellana;http://93.62.170.226/foto/M0001750.jpg;http://www.palazzomadamatorino.it/it/node/8398
2465/C;;manifattura Giustiniani - Napoli;XVIII;delfini e teste di donna;terraglia;http://93.62.170.226/foto/M0001751.jpg;http://www.palazzomadamatorino.it/it/node/8399
2466/C;;Napoli/ Real Fabbrica;XVIII;cammei e architetture;porcellana;http://93.62.170.226/foto/M0001752.jpg;http://www.palazzomadamatorino.it/it/node/8400
2467/C;;fabbrica Delvecchio - Napoli;XVIII;un giovane che sorregge un vecchio e un musico con una danzatrice;terraglia;http://93.62.170.226/foto/M0001753.jpg;http://www.palazzomadamatorino.it/it/node/8401
2468/C;;Napoli/ Real Fabbrica;XIX;uccello sopra un albero/ fiori;porcellana;http://93.62.170.226/foto/M0001754.jpg;http://www.palazzomadamatorino.it/it/node/8402
